Title Code,Movie Title,Gender,Rating (All Ages),Count (All Ages),Rating (under 18),Count (under 18),Rating (18-29),Count (18-29),Rating (30-44),Count (30-44),Rating (over 45),Count (over 45)
tt0499549,Avatar,All,"7.8
","1,260,233","7.8
",533,"7.7
","173,649","7.9
","574,410","7.9
","133,632"
tt0499549,Avatar,Males,"7.9
","752,926","7.9
",382,"7.7
","128,849","7.9
","465,544","7.9
","110,764"
tt0499549,Avatar,Females,"7.8
","172,175","7.6
",110,"7.7
","39,286","7.8
","101,268","8.0
","20,348"
tt4154796,Avengers: Endgame,All,"8.4
","1,125,444","8.7
","1,649","8.6
","170,343","8.3
","279,317","8.1
","77,356"
tt4154796,Avengers: Endgame,Males,"8.3
","489,632","8.7
","1,133","8.5
","128,237","8.2
","228,088","8.0
","62,755"
tt4154796,Avengers: Endgame,Females,"8.5
","88,949","8.2
",355,"8.7
","25,494","8.4
","39,798","8.4
","11,366"
tt0120338,Titanic,All,"7.9
","1,171,710","8.2
",542,"8.1
","168,503","7.8
","478,497","7.6
","119,997"
tt0120338,Titanic,Males,"7.8
","592,721","8.3
",347,"8.1
","108,111","7.8
","350,601","7.5
","93,269"
tt0120338,Titanic,Females,"8.2
","214,945","7.9
",141,"8.3
","54,079","8.2
","120,348","7.8
","24,244"
tt2488496,Star Wars: Episode VII 0 The Force Awakens,All,"7.8
","930,808","7.1
",469,"7.9
","136,072","7.8
","326,103","7.8
","100,206"
tt2488496,Star Wars: Episode VII 0 The Force Awakens,Males,"7.8
","529,920","7.1
",364,"7.9
","111,037","7.8
","276,620","7.8
","85,843"
tt2488496,Star Wars: Episode VII 0 The Force Awakens,Females,"8.1
","86,542","6.9
",74,"8.2
","21,330","8.1
","43,823","8.2
","12,291"
tt4154756,Avengers: Infinity War,All,"8.4
","1,076,618","8.7
","1,159","8.6
","177,275","8.3
","284,589","8.1
","71,853"
tt4154756,Avengers: Infinity War,Males,"8.4
","511,505","8.8
",863,"8.6
","138,866","8.3
","236,245","8.0
","59,366"
tt4154756,Avengers: Infinity War,Females,"8.4
","90,421","8.5
",188,"8.5
","27,372","8.3
","39,818","8.2
","10,244"
tt10872600,Spider-Man: No Way Home,All,"8.3
","750,304","8.6
","1,496","8.4
","96,126","8.1
","151,015","7.8
","39,652"
tt10872600,Spider-Man: No Way Home,Males,"8.1
","270,553","8.6
","1,100","8.3
","74,502","8.0
","126,415","7.8
","33,340"
tt10872600,Spider-Man: No Way Home,Females,"8.4
","44,809","8.4
",239,"8.6
","14,162","8.3
","19,662","8.2
","4,920"
tt0369610,Jurassic World,All,"6.9
","644,024","7.0
",339,"7.1
","96,915","6.9
","250,327","6.8
","59,627"
tt0369610,Jurassic World,Males,"6.9
","363,121","7.0
",263,"7.0
","74,238","6.8
","204,702","6.8
","49,775"
tt0369610,Jurassic World,Females,"7.3
","78,118","6.4
",47,"7.5
","19,953","7.2
","41,378","7.3
","8,679"
tt6105098,The Lion King,All,"6.8
","246,148","6.1
",277,"6.8
","39,358","6.8
","83,426","6.9
","17,457"
tt6105098,The Lion King,Males,"6.7
","117,427","6.2
",189,"6.6
","26,477","6.7
","63,793","6.8
","13,474"
tt6105098,The Lion King,Females,"7.3
","33,651","6.2
",54,"7.3
","9,570","7.2
","16,531","7.5
","3,283"
tt0848228,The Avengers,All,"8.0
","1,389,772","8.1
",710,"8.1
","234,611","8.0
","554,692","7.9
","119,216"
tt0848228,The Avengers,Males,"8.0
","804,305","8.1
",513,"8.0
","179,207","8.0
","452,819","7.9
","97,810"
tt0848228,The Avengers,Females,"8.2
","176,881","7.9
",131,"8.3
","48,526","8.1
","92,649","8.2
","18,842"
tt2820852,Furious 7,All,"7.1
","391,540","7.5
",152,"7.4
","75,844","7.0
","148,420","6.8
","27,770"
tt2820852,Furious 7,Males,"7.0
","238,448","7.5
",130,"7.3
","63,660","6.9
","128,099","6.7
","23,683"
tt2820852,Furious 7,Females,"7.6
","36,313","7.6
",12,"7.9
","10,657","7.4
","18,202","7.5
","3,562"
tt1745960,Top Gun: Maverick,All,"8.4
","447,842","8.6
",536,"8.5
","44,329","8.3
","113,893","8.2
","45,130"
tt1745960,Top Gun: Maverick,Males,"8.3
","192,410","8.7
",390,"8.4
","35,749","8.3
","96,341","8.1
","36,932"
tt1745960,Top Gun: Maverick,Females,"8.4
","30,893","7.9
",99,"8.4
","5,776","8.3
","14,318","8.5
","6,759"
tt4520988,Frozen II,All,"6.8
","173,725","6.7
",272,"6.9
","26,625","6.7
","54,534","6.7
","13,689"
tt4520988,Frozen II,Males,"6.6
","72,542","6.4
",177,"6.7
","15,641","6.6
","38,405","6.6
","10,549"
tt4520988,Frozen II,Females,"7.3
","30,142","7.7
",68,"7.4
","9,159","7.2
","14,431","7.2
","2,677"
tt2395427,Avengers: Age of Ultron,All,"7.3
","863,434","7.2
",651,"7.4
","144,534","7.2
","285,949","7.2
","68,393"
tt2395427,Avengers: Age of Ultron,Males,"7.2
","458,925","7.2
",487,"7.3
","112,812","7.2
","237,547","7.2
","57,121"
tt2395427,Avengers: Age of Ultron,Females,"7.6
","88,552","7.0
",107,"7.7
","26,180","7.5
","42,662","7.6
","9,623"
tt1825683,Black Panther,All,"7.3
","771,287","7.6
",703,"7.4
","116,535","7.1
","228,648","7.1
","65,819"
tt1825683,Black Panther,Males,"7.1
","373,717","7.5
",506,"7.3
","87,182","7.1
","184,330","7.0
","52,868"
tt1825683,Black Panther,Females,"7.8
","84,432","7.9
",134,"7.9
","22,789","7.6
","38,367","7.8
","11,104"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,All,"8.1
","874,291","8.6
",548,"8.4
","178,897","8.0
","328,678","7.8
","62,905"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,Males,"8.0
","456,254","8.6
",375,"8.3
","125,446","7.9
","246,444","7.7
","48,764"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,Females,"8.5
","150,814","8.5
",134,"8.8
","48,673","8.4
","77,493","8.4
","12,967"
tt2527336,Star Wars: Episode VIII 0 The Last Jedi,All,"6.9
","632,413","6.3
",419,"7.0
","87,490","6.9
","210,488","7.0
","70,511"
tt2527336,Star Wars: Episode VIII 0 The Last Jedi,Males,"6.9
","358,505","6.3
",330,"7.0
","71,851","6.9
","180,825","6.9
","61,269"
tt2527336,Star Wars: Episode VIII 0 The Last Jedi,Females,"7.5
","51,556","5.9
",60,"7.5
","12,320","7.4
","25,351","7.5
","7,614"
tt4881806,Jurassic World: Fallen Kingdom,All,"6.1
","317,875","6.3
",253,"6.2
","42,230","6.0
","114,530","6.2
","32,534"
tt4881806,Jurassic World: Fallen Kingdom,Males,"6.1
","172,952","6.4
",193,"6.1
","32,200","6.0
","94,647","6.2
","27,190"
tt4881806,Jurassic World: Fallen Kingdom,Females,"6.6
","34,039","5.4
",36,"6.7
","7,940","6.4
","17,343","6.7
","4,561"
tt2771200,Beauty and the Beast,All,"7.1
","310,680","6.6
",253,"7.1
","51,205","7.0
","108,416","7.1
","23,676"
tt2771200,Beauty and the Beast,Males,"6.9
","124,749","6.7
",136,"6.9
","26,963","6.8
","68,371","6.9
","16,214"
tt2771200,Beauty and the Beast,Females,"7.6
","76,232","6.5
",94,"7.6
","21,987","7.5
","37,746","7.7
","6,919"
tt2294629,Frozen,All,"7.4
","625,934","7.2
",461,"7.6
","118,898","7.4
","234,040","7.3
","50,706"
tt2294629,Frozen,Males,"7.3
","294,628","7.1
",293,"7.4
","70,401","7.3
","159,750","7.3
","37,718"
tt2294629,Frozen,Females,"7.9
","142,976","7.4
",131,"7.9
","45,182","7.8
","70,449","7.8
","11,983"
tt3606756,Incredibles 2,All,"7.6
","298,226","7.3
",356,"7.7
","58,058","7.5
","86,353","7.5
","24,099"
tt3606756,Incredibles 2,Males,"7.5
","149,118","7.4
",268,"7.7
","42,284","7.5
","69,769","7.5
","20,042"
tt3606756,Incredibles 2,Females,"7.8
","34,840","7.1
",63,"8.0
","12,562","7.6
","14,383","7.8
","3,410"
