,movie_code,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,IMDbPro
0,tt0499549,Twentieth Century FoxSee full company information,"$77,025,481 ","$237,000,000 ","December 16, 2009            (EMEA, LATAM)",PG-13,2 hr 42 min,Action            Adventure            Fantasy            Sci-Fi,See more details at IMDbPro
0,tt4154796,Walt Disney Studios Motion PicturesSee full company information,"$357,115,007 ","$356,000,000 ","April 24, 2019            (21 markets)",PG-13,3 hr 1 min,Action            Adventure            Drama            Sci-Fi,See more details at IMDbPro
0,tt0120338,Paramount PicturesSee full company information,"$28,638,131 ","$200,000,000 ","December 19, 1997            (Domestic)",PG-13,3 hr 14 min,Drama            Romance,See more details at IMDbPro
0,tt2488496,Walt Disney Studios Motion PicturesSee full company information,"$247,966,675 ","$245,000,000 ","December 16, 2015            (EMEA, APAC)",PG-13,2 hr 18 min,Action            Adventure            Sci-Fi,See more details at IMDbPro
0,tt4154756,Walt Disney Studios Motion PicturesSee full company information,"$257,698,183 ",,"April 25, 2018            (APAC, EMEA)",PG-13,2 hr 29 min,Action            Adventure            Sci-Fi,See more details at IMDbPro
0,tt10872600,Sony Pictures Entertainment (SPE)See full company information,"$260,138,569 ",,"December 15, 2021            (14 markets)",PG-13,2 hr 28 min,Action            Adventure            Fantasy            Sci-Fi,See more details at IMDbPro
0,tt0369610,Universal PicturesSee full company information,"$208,806,270 ","$150,000,000 ","June 10, 2015            (9 markets)",PG-13,2 hr 4 min,Action            Adventure            Sci-Fi,See more details at IMDbPro
0,tt6105098,Walt Disney Studios Motion PicturesSee full company information,"$191,770,759 ","$260,000,000 ","July 11, 2019            (Australia)",PG,1 hr 58 min,Adventure            Animation            Drama            Family            Musical,See more details at IMDbPro
0,tt0848228,Walt Disney Studios Motion PicturesSee full company information,"$207,438,708 ","$220,000,000 ","April 25, 2012            (EMEA, APAC)",PG-13,2 hr 23 min,Action            Adventure            Sci-Fi,See more details at IMDbPro
0,tt2820852,Universal PicturesSee full company information,"$147,187,040 ","$190,000,000 ","April 1, 2015            (15 markets)",PG-13,2 hr 17 min,Action            Crime            Thriller,See more details at IMDbPro
