Rank,Movie Title,Worldwide Gross,Domestic Gross,Overseas Gross,Year Release,movie_code
1,Avatar,2922917914,785221649,2137696265,01/01/2009,tt0499549
2,Avengers: Endgame,2797501328,858373000,1939128328,01/01/2019,tt4154796
3,Titanic,2201647264,659363944,1542283320,01/01/1997,tt0120338
4,Star Wars: Episode VII - The Force Awakens,2069521700,936662225,1132859475,01/01/2015,tt2488496
5,Avengers: Infinity War,2048359754,678815482,1369544272,01/01/2018,tt4154756
6,Spider-Man: No Way Home,1916306995,814115070,1102191925,01/01/2021,tt10872600
7,Jurassic World,1671537444,653406625,1018130819,01/01/2015,tt0369610
8,The Lion King,1663250487,543638043,1119612444,01/01/2019,tt6105098
9,The Avengers,1518815515,623357910,895457605,01/01/2012,tt0848228
10,Furious 7,1515341399,353007020,1162334379,01/01/2015,tt2820852
11,Top Gun: Maverick,1488732821,718732821,770000000,01/01/2022,tt1745960
12,Frozen II,1450026933,477373578,972653355,01/01/2019,tt4520988
13,Avengers: Age of Ultron,1402809540,459005868,943803672,01/01/2015,tt2395427
14,Black Panther,1382248826,700426566,681822260,01/01/2018,tt1825683
15,Harry Potter and the Deathly Hallows: Part 2,1342359942,381447587,960912355,01/01/2011,tt1201607
16,Star Wars: Episode VIII - The Last Jedi,1332698830,620181382,712517448,01/01/2017,tt2527336
17,Jurassic World: Fallen Kingdom,1310466296,417719760,892746536,01/01/2018,tt4881806
18,Beauty and the Beast,1305611599,504481165,801130434,01/01/2017,tt2771200
19,Frozen,1304550716,400953009,903597707,01/01/2013,tt2294629
20,Incredibles 2,1243089244,608581744,634507500,01/01/2018,tt3606756
21,The Fate of the Furious,1236005118,226008385,1009996733,01/01/2017,tt4630562
22,Iron Man 3,1214811252,409013994,805797258,01/01/2013,tt1300854
23,Minions,1159444662,336045770,823398892,01/01/2015,tt2293640
24,Captain America: Civil War,1153337496,408084349,745253147,01/01/2016,tt3498820
25,Aquaman,1148528393,335104314,813424079,01/01/2018,tt1477834
26,The Lord of the Rings: The Return of the King,1146457748,378251207,768206541,01/01/2003,tt0167260
27,Spider-Man: Far from Home,1131927996,390532085,741395911,01/01/2019,tt6320628
28,Captain Marvel,1128462972,426829839,701633133,01/01/2019,tt4154664
29,Transformers: Dark of the Moon,1123794079,352390543,771403536,01/01/2011,tt1399103
30,Jurassic Park,1109802321,404214720,705587601,01/01/1993,tt0107290
31,Skyfall,1108569499,304360277,804209222,01/01/2012,tt1074638
32,Transformers: Age of Extinction,1104054072,245439076,858614996,01/01/2014,tt2109248
33,The Dark Knight Rises,1081169825,448149584,633020241,01/01/2012,tt1345836
34,Joker,1074458282,335477657,738980625,01/01/2019,tt7286456
35,Star Wars: Episode IX - The Rise of Skywalker,1074149279,515202542,558946737,01/01/2019,tt2527338
36,Toy Story 4,1073394593,434038008,639356585,01/01/2019,tt1979376
