movie_code,Movie Title,Year Release
tt0499549,Avatar,2009
tt4154796,Avengers: Endgame,2019
tt0120338,Titanic,1997
tt2488496,Star Wars: Episode VII - The Force Awakens,2015
tt4154756,Avengers: Infinity War,2018
tt10872600,Spider-Man: No Way Home,2021
tt0369610,Jurassic World,2015
tt6105098,The Lion King,2019
tt0848228,The Avengers,2012
tt2820852,Furious 7,2015
tt1745960,Top Gun: Maverick,2022
tt4520988,Frozen II,2019
tt2395427,Avengers: Age of Ultron,2015
tt1825683,Black Panther,2018
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017
tt4881806,Jurassic World: Fallen Kingdom,2018
tt2771200,Beauty and the Beast,2017
tt2294629,Frozen,2013
tt3606756,Incredibles 2,2018
tt4630562,The Fate of the Furious,2017
tt1300854,Iron Man 3,2013
tt2293640,Minions,2015
tt3498820,Captain America: Civil War,2016
tt1477834,Aquaman,2018
tt0167260,The Lord of the Rings: The Return of the King,2003
tt6320628,Spider-Man: Far from Home,2019
tt4154664,Captain Marvel,2019
tt1399103,Transformers: Dark of the Moon,2011
tt0107290,Jurassic Park,1993
tt1074638,Skyfall,2012
tt2109248,Transformers: Age of Extinction,2014
tt1345836,The Dark Knight Rises,2012
tt7286456,Joker,2019
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019
tt1979376,Toy Story 4,2019
tt0435761,Toy Story 3,2010
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006
tt0110357,The Lion King,1994
tt3748528,Rogue One: A Star Wars Story,2016
tt6139732,Aladdin,2019
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011
tt2948356,Zootopia,2016
tt3469046,Despicable Me 3,2017
tt2277860,Finding Dory,2016
tt0120915,Star Wars: Episode I - The Phantom Menace,1999
tt1014759,Alice in Wonderland,2010
tt0241527,Harry Potter and the Sorcerer's Stone,2001
tt0903624,The Hobbit: An Unexpected Journey,2012
tt0468569,The Dark Knight,2008
tt8041270,Jurassic World: Dominion,2022
tt2283362,Jumanji: Welcome to the Jungle,2017
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010
tt1690953,Despicable Me 2,2013
tt3040964,The Jungle Book,2016
tt2310332,The Hobbit: The Battle of the Five Armies,2014
tt0449088,Pirates of the Caribbean: At World's End,2007
tt1170358,The Hobbit: The Desolation of Smaug,2013
tt9419884,Doctor Strange in the Multiverse of Madness,2022
tt0167261,The Lord of the Rings: The Two Towers,2002
tt0373889,Harry Potter and the Order of the Phoenix,2007
tt0266543,Finding Nemo,2003
tt5113044,Minions: The Rise of Gru,2022
tt0417741,Harry Potter and the Half-Blood Prince,2009
tt0298148,Shrek 2,2004
tt0295297,Harry Potter and the Chamber of Secrets,2002
tt1727824,Bohemian Rhapsody,2018
tt13462900,The Battle at Lake Changjin,2021
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
tt0330373,Harry Potter and the Goblet of Fire,2005
tt0413300,Spider-Man 3,2007
